unemp,sippst,year,mth
5.5999999,9,1994,4
5.5999999,9,1994,5
5.5,9,1994,6
5.4000001,9,1994,7
5.5,9,1994,8
5.5999999,9,1994,9
5.5,9,1994,10
5.4000001,9,1994,11
5.4000001,9,1994,12
5.4000001,9,1995,1
5.5,9,1995,2
5.4000001,9,1995,3
5.3000002,9,1995,4
5.4000001,9,1995,5
5.5,9,1995,6
5.5999999,9,1995,7
5.5999999,9,1995,8
5.5999999,9,1995,9
5.5999999,9,1995,10
5.5999999,9,1995,11
5.6999998,9,1995,12
6,9,1996,1
5.8000002,9,1996,2
5.8000002,9,1996,3
5.6999998,9,1996,4
5.5999999,9,1996,5
5.6999998,9,1996,6
5.6999998,9,1996,7
5.6999998,9,1996,8
5.6999998,9,1996,9
5.8000002,9,1996,10
5.6999998,9,1996,11
5.6999998,9,1996,12
5.9000001,9,1997,1
5.6999998,9,1997,2
5.5999999,9,1997,3
5.5999999,9,1997,4
5.4000001,9,1997,5
5.3000002,9,1997,6
5.0999999,9,1997,7
4.9000001,9,1997,8
4.6999998,9,1997,9
4.5999999,9,1997,10
4.3000002,9,1997,11
4.1999998,9,1997,12
3.9000001,9,1998,1
3.5999999,9,1998,2
3.5,9,1998,3
3.4000001,9,1998,4
3.3,9,1998,5
3.2,9,1998,6
3.0999999,9,1998,7
3.2,9,1998,8
3.4000001,9,1998,9
3.2,9,1998,10
3.3,9,1998,11
3.2,9,1998,12
3.3,9,1999,1
3.3,9,1999,2
3.4000001,9,1999,3
3.4000001,9,1999,4
3.4000001,9,1999,5
3.3,9,1999,6
3.0999999,9,1999,7
2.9000001,9,1999,8
3.0999999,9,1999,9
3,9,1999,10
2.9000001,9,1999,11
2.8,9,1999,12
2.5999999,9,2000,1
2.5,9,2000,2
2.2,9,2000,3
2.2,9,2000,4
2.2,9,2000,5
2.0999999,9,2000,6
2.0999999,9,2000,7
2.0999999,9,2000,8
2.2,9,2000,9
2.2,9,2000,10
2.2,9,2000,11
2.3,9,2000,12
2.5,9,2001,1
2.5,9,2001,2
2.8,9,2001,3
2.9000001,9,2001,4
3.0999999,9,2001,5
3.3,9,2001,6
3.5,9,2001,7
3.5999999,9,2001,8
3.5999999,9,2001,9
3.8,9,2001,10
3.9000001,9,2001,11
4,9,2001,12
3.5,9,2002,1
3.5,9,2002,2
3.5,9,2002,3
3.8,9,2002,4
3.7,9,2002,5
3.5999999,9,2002,6
3.8,9,2002,7
11.2,10,1983,1
11.2,10,1983,2
11.4,10,1983,3
11.7,10,1983,4
11.8,10,1983,5
11.9,10,1983,6
11.9,10,1983,7
11.8,10,1983,8
11.6,10,1983,9
11.7,10,1983,10
11.6,10,1983,11
11.4,10,1983,12
11,10,1984,1
10.5,10,1984,2
10,10,1984,3
9.3999996,10,1984,4
9,10,1984,5
8.6000004,10,1984,6
8.3000002,10,1984,7
8.3999996,10,1984,8
8.3999996,10,1984,9
8.5,10,1984,10
8.3000002,10,1984,11
8.3000002,10,1984,12
8.3999996,10,1985,1
8.5,10,1985,2
8.6999998,10,1985,3
