year,sippst,age,race,mardum,ed,ui_yn,spell,dur,templayoff,censrd,seam1wks,seam2wks,hh_twlth,unemprate,gind,occ,annwg,wba,avgwba,hh_theq,hh_liq,hh_netliq,l_avgwba,l_maxwba,l_wba,l_annwg_spl1,l_annwg_spl2,l_annwg_spl3,l_annwg_spl4,l_annwg_spl5,l_annwg_spl6,l_annwg_spl7,l_annwg_spl8,l_annwg_spl9,l_annwg_spl10,id,hasmortg,l_hh_twlth,maxwba,l_annwg,unemprate2,year1,year2,year3,ind99,ind4,delta
1993,Michigan,23,White,0,12,yes,1,4,0,0,4,21,26645,7.1999998,8,5,16492.621,200.51529,194.48521,12662.975,5644.0688,-12445.896,5.2703562,5.5797977,5.3008904,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.055642564,0,0,0,18825,1,10.190357,265.01801,9.7106686,51.839996,0,1,0,0,0,1
1992,Washington,38,White,1,15,yes,5,6,0,0,13,31,90606,8,2,5,19635.742,133.37419,163.60323,61483.961,13600.998,12483.107,5.0974441,5.5385933,4.8931584,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.029462041,0,0,18826,1,11.414276,254.31999,9.885107,64,0,1,0,0,0,1
1993,Kentucky,49,White,0,13,yes,2,19,0,0,6,23,54739,6,3,5,34461.383,207.1301,140.957,21404.045,16801.055,16348.806,4.9484549,5.3333468,5.3333468,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.064234644,18827,1,10.910332,207.13005,10.447595,36,0,1,0,0,0,1
1991,Missouri,34,White,0,13,yes,2,23,0,0,5,23,170196,6.9000001,2,6,35937.703,163.1351,136.80318,43182.82,114770.34,110164.17,4.9185433,5.0945787,5.0945787,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.10618201,18833,0,12.044706,163.1351,10.489542,47.610001,0,1,0,0,0,1
1992,Ohio,34,White,1,12,yes,1,25,0,0,4,22,3019,7.1999998,4,5,32446.764,196.56236,167.56242,0,721.03918,-9433.1299,5.121356,5.2809796,5.2809796,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.0039958046,18835,0,8.012681,196.56235,10.387356,51.839996,0,1,0,0,1,1
1993,Michigan,41,White,1,12,yes,1,15,0,0,7,25,73220,6.9000001,2,5,42250.922,265.01797,194.48521,61885.77,1175.8477,1175.8477,5.2703562,5.5797977,5.5797977,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.26802149,18836,1,11.201224,265.01801,10.651381,47.610001,0,1,0,0,0,1
1996,Maryland,35,Black,0,12,yes,1,108,0,0,11,28,75232,4.6999998,7,5,10329.382,151.62927,162.03801,62476.102,193.2594,-13967.99,5.087831,5.338757,5.0214386,8.3230162,.44986501,.27958801,.19027831,0,0,0,0,0,0,18843,0,11.228332,208.25369,9.2427473,22.089998,0,0,1,0,0,1
1997,Washington,23,White,0,10,yes,1,13,0,0,16,33,-750,5.0999999,7,5,15830.579,99.05349,195.29268,0,162.86604,162.86604,5.2744994,5.6945081,4.5956602,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.014672715,0,0,0,18844,0,,297.23053,9.6696987,26.009998,0,0,1,0,0,1
1992,California,44,"American Indian, Eskimo or Aleut",1,18,yes,1,12,0,0,18,35,73973,9.6999998,9,1,34192.535,203.23999,141.66464,35491.152,24197.666,15627.174,4.9534626,5.3672009,5.3143873,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.056403071,18845,1,11.211455,214.26227,10.439763,94.089996,0,1,0,0,0,1
1998,Ohio,22,White,1,11,yes,4,19,0,0,17,35,1000,4.3000002,99,99,10634.009,94.170197,172.75653,0,0,0,5.1518831,5.3664031,4.5451035,8.3230162,.44986501,.27958801,.21934344,0,0,0,0,0,0,18847,0,6.9077554,214.09142,9.2718124,18.490002,0,0,1,1,0,1
1985,Kentucky,23,White,0,12,yes,1,4,0,0,4,22,58749,9.6000004,2,6,16989.381,170.05576,127.05595,60734.199,5768.5342,180.98792,4.8446274,5.1361265,5.1361265,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.085318044,0,0,0,18850,1,10.98103,170.05579,9.740344,92.160004,1,0,0,0,0,1
1996,California,44,White,1,5,yes,1,13,0,0,12,29,1250,6.8000002,4,5,11877.123,148.25691,126.98476,0,0,-124.9522,4.8440671,5.2553754,4.9989467,8.3230162,.44986501,.27958801,.220351,.10954904,0,0,0,0,0,18852,0,7.130899,191.5934,9.382369,46.240002,0,0,1,0,1,1
1992,Indiana,30,White,1,11,yes,1,2,0,0,16,33,1050,6.1999998,4,5,21251.094,168.61511,117.35984,0,186.31503,186.31503,4.765245,5.1276188,5.1276188,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.10851878,0,0,18853,0,6.9565454,168.61513,9.9641638,38.439999,0,1,0,0,1,1
1998,Georgia,56,White,1,12,yes,1,6,0,0,18,35,48198,4.3000002,5,4,12372.398,179.61227,144.66806,36041.125,0,0,4.974442,5.1908007,5.1908007,8.3230162,.44986501,.27958801,.220351,.1504035,0,0,0,0,0,18854,1,10.783072,179.6123,9.4232235,18.490002,0,0,1,0,0,1
1987,Florida,61,White,1,12,yes,2,39,0,1,4,21,165050,5.4000001,4,5,18590.234,201.34244,147.71631,149568.67,30834.156,30431.471,4.9952936,5.305007,5.305007,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.17536588,0,0,0,18860,0,12.014004,201.34241,9.8303919,29.160002,1,0,0,0,1,0
1987,New York,21,White,0,12,yes,2,5,0,1,5,,44924,4.4000001,2,7,9664.4365,83.685081,160.54469,0,49557.852,37218.438,5.0785723,5.333178,4.4270606,8.3230162,.44986501,.27958801,.1237395,0,0,0,0,0,0,18878,0,10.712728,207.09509,9.1762085,19.360001,1,0,0,0,0,0
1993,Oregon,33,White,0,18,yes,1,24,0,0,9,27,22423,7.5,5,6,6639.0171,245.11902,163.00867,0,10492.18,10492.18,5.0938034,5.5017438,5.5017438,8.3230162,.44986501,.027838262,0,0,0,0,0,0,0,18882,0,10.017842,245.119,8.8007193,56.25,0,1,0,0,0,1
1993,Ohio,45,White,1,12,yes,1,17,0,0,17,34,33151,7,99,99,17190.893,190.84912,165.74026,0,18135.189,12979.55,5.1104217,5.251483,5.251483,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.097109273,0,0,0,18886,0,10.408828,190.84908,9.7521353,49,0,1,0,1,0,1
1985,New York,46,White,1,12,yes,1,32,0,0,15,33,170960,6.5999999,6,3,18949.07,214.79037,158.63774,159123.61,35025.414,20388.471,5.0666232,5.3874407,5.3696628,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.19448419,0,0,0,18889,1,12.049185,218.6431,9.8495102,43.559998,1,0,0,0,0,1
1994,Ohio,58,White,1,12,yes,1,4,0,0,16,34,83053,6,3,6,19779.619,201.07692,168.33138,37838.621,30249.73,22312.484,5.1259346,5.3036876,5.3036876,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.036762416,0,0,18893,1,11.327234,201.07693,9.8924074,36,0,1,0,0,0,1
